pais,fecha_proceso,transporte,ruta,tipo_entrega,material,precio,cantidad,unidad
SV,20250724,96913810,932098,ZPRE,EA040003,21.976896426257,27.0,CS
SV,20250703,89345092,930495,Z05,BA018500,43.062253146931,140.0,CS
EC,20250726,60872248,999458,Z04,AA005102,49.906969749411,88.0,CS
EC,20250704,72448136,949797,Z04,HA070001,32.948969024231,89.0,CS
GT,20250718,76753883,949615,ZVE1,FA050010,42.602031563661,0.0,CS
EC,20250703,91244663,913238,ZVE1,CA022003,28.898680155505,94.0,ST
PE,20250709,154196727,989593,ZVE1,BA018426,45.456550283349,44.0,CS
EC,20250730,145899313,990198,ZVE1,HA070002,49.230712549494,15.0,CS
EC,2025-07-01,95935572,908675,Z04,BA018430,60.656806209277,146.0,CS
GT,20250729,146282117,960142,Z04,GA060001,28.244008324903,64.0,CS
JM,20250713,108586340,928746,ZPRE,HA070003,40.476314683823,24.0,CS
PE,20250706,151332642,955333,COBR,EA040002,34.238365583725,120.0,CS
SV,20250722,132070937,998419,ZPRE,CA022001,53.429936632872,88.0,ST
GT,20250701,156917555,994329,ZPRE,HA070003,63.594404943506,46.0,ST
PE,20250717,141734598,926071,ZPRE,FA050001,33.695692629557,42.0,CS
SV,20250704,108718453,940306,ZPRE,AA004012,17.896258324709,146.0,CS
SV,20250725,131498611,916483,ZVE1,BA018510,47.987541137368,141.0,CS
JM,20250714,88427073,970686,Z04,DA030002,50.647448640956,103.0,CS
GT,20250704,93273328,929451,ZVE1,EA040003,31.904278107373,142.0,CS
SV,20250723,144705205,907716,Z04,AA004012,18.370016405515,9.0,CS
EC,20250722,125151231,928080,Z05,BA018500,51.167628294049,147.0,CS
GT,20250707,72660194,912704,Z05,HA070003,32.714878329478,106.0,ST
PE,20250721,146728778,912899,ZPRE,BA018500,35.131064105113,87.0,CS
JM,20250715,78814949,955296,ZPRE,DA030002,28.927257233347,64.0,CS
JM,20250704,66789850,985477,ZVE1,DA030001,63.449812864238,61.0,CS
HN,20250728,113826716,907685,Z04,HA070001,33.948655948846,100.0,CS
EC,20250714,153494928,995748,ZVE1,AA004007,22.739841263703,76.0,ST
JM,20250702,102091325,907492,ZVE1,AA004007,44.208879722949,129.0,CS
SV,20250728,84941004,908981,Z05,AA005101,48.760627680205,61.0,CS
JM,20250708,137701200,977924,Z04,BA018510,45.969075516605,108.0,CS
PE,20250711,92035886,934814,Z05,CA022002,21.543914106373,77.0,ST
SV,20250701,121510041,981416,Z04,AA005102,18.663036054982,55.0,CS
